,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
104,Esidende,06:30 AM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:50.639579,Nakuru,Mungati,600,2019-09-05,Nakuru,Mungati,67.0
105,Esidende,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:50.639597,Nakuru,Mungati,600,2019-09-05,Nakuru,Mungati,67.0
106,SIAYA,07:30 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:47:53.223646,Kisumu,Siaya,300,2019-09-05,Kisumu,Siaya,26.0
107,Cheptais,05:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:57.056787,Nakuru,Korosiandet,1000,2019-09-05,Nakuru,Korosiandet,65.0
108,Cheptais,05:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:57.056806,Nakuru,Korosiandet,1000,2019-09-05,Nakuru,Korosiandet,66.0
109,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:57.056808,Nakuru,Korosiandet,800,2019-09-05,Nakuru,Korosiandet,67.0
110,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:57.056811,Nakuru,Korosiandet,800,2019-09-05,Nakuru,Korosiandet,67.0
111,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:57.056813,Nakuru,Korosiandet,800,2019-09-05,Nakuru,Korosiandet,48.0
112,Cheptais,06:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:59.298090,Kangemi,Lwandeti,800,2019-09-05,Kangemi,Lwandeti,67.0
113,Cheptais,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:59.298107,Kangemi,Lwandeti,800,2019-09-05,Kangemi,Lwandeti,67.0
114,Cheptais,07:10 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:47:59.298109,Kangemi,Lwandeti,800,2019-09-05,Kangemi,Lwandeti,48.0
115,Eldoret,10:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:01.603887,Country Bus,Nakuru,500,2019-09-05,Country%20bus,Nakuru,67.0
116,Eldoret,10:30 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:01.603911,Country Bus,Nakuru,800,2019-09-05,Country%20bus,Nakuru,48.0
117,webuye,04:30 AM,"Wed,Sep 04,2019",EasyCoach,2019-09-04 00:48:04.322093,Malaba,Webuye,400,2019-09-05,Malaba,Webuye,10.0
118,webuye,02:00 PM,"Thu,Sep 05,2019",EasyCoach,2019-09-04 00:48:04.322112,Malaba,Webuye,400,2019-09-05,Malaba,Webuye,26.0
119,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:07.326519,Kimwanga,Country Bus,1000,2019-09-05,Kimwanga,Country%20bus,48.0
120,Country Bus,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:08.932288,Tulienge,Nakuru,1000,2019-09-05,Tulienge,Nakuru,48.0
121,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:11.084012,Uthiru,Siyenga,1200,2019-09-05,Uthiru,Siyenga,48.0
122,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:11.084032,Uthiru,Siyenga,800,2019-09-05,Uthiru,Siyenga,67.0
123,Makunga,08:00 AM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:13.384573,Kangemi,Mumias,600,2019-09-05,Kangemi,Mumias,67.0
124,Makunga,08:00 AM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:13.384604,Kangemi,Mumias,600,2019-09-05,Kangemi,Mumias,48.0
125,Makunga,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:13.384609,Kangemi,Mumias,600,2019-09-05,Kangemi,Mumias,67.0
126,Makunga,07:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:13.384612,Kangemi,Mumias,600,2019-09-05,Kangemi,Mumias,48.0
127,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:15.895826,Main Office,Moisbridge,1200,2019-09-05,Main%20Office,Moisbridge,48.0
128,Bishop Muge,09:00 PM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:15.895846,Main Office,Moisbridge,800,2019-09-05,Main%20Office,Moisbridge,67.0
129,Esidende,06:30 AM,"Thu,Sep 05,2019",Greenline,2019-09-04 00:48:18.341583,Uthiru,Koyonzo,600,2019-09-05,Uthiru,Koyonzo,67.0
