,available boarding points,departure time,travel date,bus_co,created_at,destination,origin,price,search_date,search_destination,search_origin,seats_remaining
14888,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:05.749031,Uthiru,Gatua,1000,2019-08-28,Uthiru,Gatua,48.0
14889,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:05.749051,Uthiru,Gatua,600,2019-08-28,Uthiru,Gatua,67.0
14890,Cheptais,05:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:08.335913,Nakuru,Wamono,900,2019-08-28,Nakuru,Wamono,66.0
14891,Cheptais,05:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:08.335935,Nakuru,Wamono,900,2019-08-28,Nakuru,Wamono,66.0
14892,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:10.773105,Namwela,Nakuru,1000,2019-08-28,Namwela,Nakuru,48.0
14893,Bukembe,08:00 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:14.512860,Westlands,Kipkaren,700,2019-08-28,Westlands,Kipkaren,67.0
14894,Bukembe,08:00 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:14.512875,Westlands,Kipkaren,800,2019-08-28,Westlands,Kipkaren,48.0
14895,Bukembe,08:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:14.512877,Westlands,Kipkaren,700,2019-08-28,Westlands,Kipkaren,67.0
14896,Bukembe,08:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:14.512880,Westlands,Kipkaren,800,2019-08-28,Westlands,Kipkaren,48.0
14897,Chwele,06:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:17.798636,Total,Lwandeti,700,2019-08-28,Total,Lwandeti,67.0
14898,Chwele,07:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:17.798657,Total,Lwandeti,700,2019-08-28,Total,Lwandeti,67.0
14899,Chwele,07:10 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:17.798660,Total,Lwandeti,700,2019-08-28,Total,Lwandeti,48.0
14900,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:19.511332,Kapelengo,Nairobi,1000,2019-08-28,Kapelengo,Nairobi,48.0
14901,Bukembe,08:00 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:21.894823,Country Bus,Bukembe,700,2019-08-28,Country%20bus,Bukembe,67.0
14902,Bukembe,08:00 AM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:21.894843,Country Bus,Bukembe,800,2019-08-28,Country%20bus,Bukembe,48.0
14903,Amagoro,07:10 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:21.894845,Country Bus,Bukembe,700,2019-08-28,Country%20bus,Bukembe,66.0
14904,Bukembe,08:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:21.894848,Country Bus,Bukembe,700,2019-08-28,Country%20bus,Bukembe,67.0
14905,Bukembe,08:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:21.894850,Country Bus,Bukembe,800,2019-08-28,Country%20bus,Bukembe,48.0
14906,Amagoro,08:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:21.894853,Country Bus,Bukembe,800,2019-08-28,Country%20bus,Bukembe,48.0
14907,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:24.067587,Kocholia,Nairobi,1000,2019-08-28,Kocholia,Nairobi,48.0
14908,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:26.869452,Kocholia,Westlands,1000,2019-08-28,Kocholia,Westlands,48.0
14909,Cheptais,05:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:29.581036,Nakuru,Cheptais,900,2019-08-28,Nakuru,Cheptais,66.0
14910,Cheptais,05:30 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:29.581056,Nakuru,Cheptais,900,2019-08-28,Nakuru,Cheptais,66.0
14911,Chwele,06:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:31.849851,Kangemi,Chwele,700,2019-08-28,Kangemi,Chwele,67.0
14912,Chwele,07:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:31.849869,Kangemi,Chwele,700,2019-08-28,Kangemi,Chwele,67.0
14913,Chwele,07:10 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:31.849872,Kangemi,Chwele,700,2019-08-28,Kangemi,Chwele,48.0
14914,MBITA,08:00 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:15:34.463426,Rongo,Mbita,1000,2019-08-28,Rongo,Mbita,32.0
14915,MBITA,07:45 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:15:34.463444,Rongo,Mbita,1000,2019-08-28,Rongo,Mbita,32.0
14916,USENGE,06:30 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:15:37.674848,Bondo,Usenge,100,2019-08-28,Bondo,Usenge,32.0
14917,Country Bus,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:39.689443,Cheptais,Nairobi,1000,2019-08-28,Cheptais,Nairobi,48.0
14918,Kangemi,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:42.672453,Kitale,Westlands,1000,2019-08-28,Kitale,Westlands,48.0
14919,Kangemi,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:42.672474,Kitale,Westlands,1000,2019-08-28,Kitale,Westlands,48.0
14920,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:44.750981,Nakuru,Moisbridge,1000,2019-08-28,Nakuru,Moisbridge,48.0
14921,Bishop Muge,09:00 PM,"Wed,Aug 28,2019",Greenline,2019-08-18 01:15:44.751000,Nakuru,Moisbridge,600,2019-08-28,Nakuru,Moisbridge,67.0
14922,Busia,12:15 AM,"Tue,Aug 27,2019",EasyCoach,2019-08-18 01:15:50.455148,Kisumu,Busia,500,2019-08-28,Kisumu,Busia,0.0
14923,Busia,07:30 AM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:15:50.455178,Kisumu,Busia,500,2019-08-28,Kisumu,Busia,31.0
14924,Busia,06:45 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:15:50.455183,Kisumu,Busia,500,2019-08-28,Kisumu,Busia,32.0
14925,Busia,07:00 PM,"Wed,Aug 28,2019",EasyCoach,2019-08-18 01:15:50.455187,Kisumu,Busia,500,2019-08-28,Kisumu,Busia,32.0
